lada,ciudad,estado
616,Camalú,Baja California
616,Colonia Vicente Guerrero,Baja California
616,Ejido General Leandro Valle,Baja California
616,Ejido José María Morelos,Baja California
616,El Rosario,Baja California
616,Isla de Cedros,Baja California
616,Poblado Héroes de Chapultepec,Baja California
616,Punta Cólonet,Baja California
616,Ruben Jaramillo,Baja California
616,San Quintín,Baja California
616,Venustiano Carranza (Santa María),Baja California
646,Bajamar,Baja California
646,Colonia Benito García (El Zorrillo),Baja California
646,El Porvenir (Guadalupe),Baja California
646,El Rincón de Punta Banda,Baja California
646,El Sauzal,Baja California
646,Ensenada,Baja California
646,Erendira,Baja California
646,Francisco R. Serrano (Valle San Matías),Baja California
646,Héroes de la Independencia,Baja California
646,La Bufadora,Baja California
646,La Misión,Baja California
646,Lázaro Cárdenas (Valle de la Trinidad),Baja California
646,Maneadero,Baja California
646,Nacionalista de Sánchez Taboada,Baja California
646,Ojos Negros (Real del Castillo),Baja California
646,San Vicente,Baja California
646,Santo Tomás,Baja California
646,Uruapan,Baja California
646,Valle de la Trinidad,Baja California
646,"Villa de Juárez, Baja California (San Antonio de las Minas)",Baja California
653,Estación Coahuila,Baja California
658,Benito Juárez (Tecolotes),Baja California
658,Ciudad Morelos (Cuervos),Baja California
658,Ejido Chiapas 1,Baja California
658,Ejido Distrito Federal,Baja California
658,Ejido Dr. Alberto Oviedo Mota (El Indiviso),Baja California
658,Ejido Guadalajara,Baja California
658,Ejido Lázaro Cárdenas,Baja California
658,Ejido Monterrey (Colonia Bataquez),Baja California
658,Ejido Querétaro,Baja California
658,Ejido Quintana Roo,Baja California
658,Ejido Yucatán,Baja California
658,Guadalupe Victoria,Baja California
658,Hermosillo,Baja California
658,Ingeniero Francisco Murguía,Baja California
658,Mérida,Baja California
658,Paredones,Baja California
658,República Mexicana,Baja California
658,Saltillo,Baja California
658,Vicente Guerrero (Algodones),Baja California
658,Villa Hermosa,Baja California
661,Marena Cove,Baja California
661,Playas de Rosarito,Baja California
661,Popotla,Baja California
661,Primo Tapia,Baja California
664,Ejido Ojo de Agua,Baja California
664,San Antonio del Mar,Baja California
664,Tijuana,Baja California
665,Ejido Nueva Colonia Hindú,Baja California
665,El Descanso,Baja California
665,El Hongo,Baja California
665,El Testerazo,Baja California
665,Tecate,Baja California
665,Valle de las Palmas,Baja California
686,Chihuahua,Baja California
686,Colonia La Puerta,Baja California
686,Delta (Estación Delta),Baja California
686,Durango,Baja California
686,Ejido Guanajuato,Baja California
686,Ejido Sanson Flores,Baja California
686,Ejido Sinaloa,Baja California
686,Islas Agrarias Grupo B,Baja California
686,Jalapa,Baja California
686,Mexicali,Baja California
686,Michoacán de Ocampo,Baja California
686,Nayarit Llamada,Baja California
686,Nuevo León,Baja California
686,Puebla,Baja California
686,Rumorosa,Baja California
686,San Felipe,Baja California
612,Chametla,Baja California Sur
612,El Centenario,Baja California Sur
612,El Pescadero,Baja California Sur
612,El Sargento,Baja California Sur
612,La Paz,Baja California Sur
612,San Juan de los Planes,Baja California Sur
612,Todos Santos,Baja California Sur
613,Benito Juárez (Buenavista),Baja California Sur
613,Ciudad Constitución,Baja California Sur
613,Loreto,Baja California Sur
613,Nopolo,Baja California Sur
613,Puerto Adolfo López Mateos,Baja California Sur
613,Puerto San Carlos,Baja California Sur
613,Villa Ignacio Zaragoza (Las Flores),Baja California Sur
613,Villa Insurgentes,Baja California Sur
615,Bahia Asunción,Baja California Sur
615,Bahía Tortugas,Baja California Sur
615,Estero de la Bocana,Baja California Sur
615,Guerrero Negro,Baja California Sur
615,Gustavo Díaz Ordaz (Vizcaíno),Baja California Sur
615,Mulegé,Baja California Sur
615,Punta Abreojos,Baja California Sur
615,San Bruno,Baja California Sur
615,San Ignacio,Baja California Sur
615,San Lucas,Baja California Sur
615,Santa Rosalía,Baja California Sur
624,Buena Vista,Baja California Sur
624,Cabo del Sol,Baja California Sur
624,Cabo San Lucas,Baja California Sur
624,La Ribera,Baja California Sur
624,Las Lagunitas,Baja California Sur
624,Miraflores,Baja California Sur
624,San José del Cabo,Baja California Sur
624,San José Viejo,Baja California Sur
624,Santa Anita,Baja California Sur
624,Santiago,Baja California Sur
913,Palizada,Campeche
938,Atasta,Campeche
938,Ciudad del Carmen,Campeche
938,Nuevo Progreso,Campeche
938,San Antonio Cárdenas,Campeche
981,Alfredo B. Bonfil,Campeche
981,Campeche,Campeche
981,China,Campeche
981,Melchor Ocampo,Campeche
982,Candelaria,Campeche
982,Centenario,Campeche
982,Champotón,Campeche
982,División del Norte,Campeche
982,Don Samuel,Campeche
982,Escárcega,Campeche
982,Felipe Carrillo Puerto,Campeche
982,Isla Aguada,Campeche
982,Ley Federal de Reforma Agraria,Campeche
982,Sabancuy,Campeche
982,Seybaplaya,Campeche
982,Sihochac,Campeche
982,Villa Madero,Campeche
983,Xpujil,Campeche
996,Becal,Campeche
996,Bolonchen de Rejón,Campeche
996,Calkini,Campeche
996,Dzibalchen,Campeche
996,Dzitbalche,Campeche
996,Hecelchakan,Campeche
996,Hopelchen,Campeche
996,Nunkini,Campeche
996,Pomuch,Campeche
996,Tenabo,Campeche
996,Vicente Guerrero (Iturbide),Campeche
916,Palenque,Chiapas
916,Salto de Agua,Chiapas
917,Las Garzas,Chiapas
917,Reforma,Chiapas
918,Acacoyagua,Chiapas
918,Acapetahua,Chiapas
918,Colonia Soconusco,Chiapas
918,El Triunfo,Chiapas
918,Escuintla,Chiapas
918,Flores Magón,Chiapas
918,Hidalgo,Chiapas
918,Hidalgo Novillero,Chiapas
918,Mapastepec,Chiapas
918,Pijijiapan,Chiapas
918,Pueblo Nuevo Comaltitlán,Chiapas
918,Sesecapa,Chiapas
919,Altamirano,Chiapas
919,Bachajón,Chiapas
919,Bochil,Chiapas
919,Chenalho,Chiapas
919,Chilón,Chiapas
919,Coapilla,Chiapas
919,El Rayón,Chiapas
919,Huitiupan,Chiapas
919,Ixhuatan,Chiapas
919,Jitotol de Zaragoza,Chiapas
919,Ocosingo,Chiapas
919,Oxchuc,Chiapas
919,Pantelhó,Chiapas
919,Petalcingo,Chiapas
919,Pueblo Nuevo Solistahuacán,Chiapas
919,Simojovel,Chiapas
919,Solosuchiapa,Chiapas
919,Tapilula,Chiapas
919,Tila,Chiapas
919,Yajalón,Chiapas
932,Ixtacomitán,Chiapas
932,Juárez,Chiapas
932,Pichucalco,Chiapas
934,La Libertad,Chiapas
961,Álvaro Obregón,Chiapas
961,Berriozabal,Chiapas
961,Chiapa de Corzo,Chiapas
961,Chicoasén,Chiapas
961,Copoya,Chiapas
961,El Jobo,Chiapas
961,El Sabino,Chiapas
961,Ixtapa,Chiapas
961,Juan del Grijalva,Chiapas
961,Julián Grajales,Chiapas
961,Osumacinta,Chiapas
961,Salvador Urbina,Chiapas
961,San Fernando,Chiapas
961,Soyaló,Chiapas
961,Suchiapa,Chiapas
961,Tuxtla Gutiérrez,Chiapas
961,Veinte de Noviembre,Chiapas
961,Villa de Acala,Chiapas
962,Agustín de Iturbide,Chiapas
962,Álvaro Obregón,Chiapas
962,Belisario Domínguez,Chiapas
962,Cacahoatán,Chiapas
962,Carrillo Puerto,Chiapas
962,Ciudad Hidalgo,Chiapas
962,Frontera Hidalgo,Chiapas
962,La Libertad,Chiapas
962,Mazapa de Madero,Chiapas
962,Metapa de Domínguez,Chiapas
962,Motozintla,Chiapas
962,Puerto Madero (San Benito),Chiapas
962,Salvador Urbina,Chiapas
962,Santo Domingo,Chiapas
962,Suchiate,Chiapas
962,Tapachula,Chiapas
962,Tuxtla Chico,Chiapas
962,Unión Juárez,Chiapas
963,Chicomuselo,Chiapas
963,Ciudad Cuauhtémoc,Chiapas
963,Comitán de Domínguez,Chiapas
963,El Pacayal,Chiapas
963,Frontera Comalapa,Chiapas
963,José María Morelos,Chiapas
963,Juan Sabines,Chiapas
963,La Independencia,Chiapas
963,La Trinitaria,Chiapas
963,Las Margaritas,Chiapas
963,Nuevo Amatenango,Chiapas
963,Rodulfo Figueroa,Chiapas
963,Sabinalito,Chiapas
963,San Caralampio,Chiapas
963,Siltepec,Chiapas
963,Tzimol,Chiapas
964,Buenos Aires (Zinacántal),Chiapas
964,El Ingenio Azucarero,Chiapas
964,Huehuetán,Chiapas
964,Huixtla,Chiapas
964,Mazatán,Chiapas
964,Tuzantán,Chiapas
965,Cristóbal Obregón,Chiapas
965,Cuauhtémoc,Chiapas
965,Doctor Domingo Chanona,Chiapas
965,El Parral,Chiapas
965,Guadalupe Victoria (Lázaro Cárd),Chiapas
965,Jesús María Garza,Chiapas
965,Manuel Avila Camacho,Chiapas
965,Nuevo México,Chiapas
965,Primero de Mayo,Chiapas
965,Revolución Mexicana,Chiapas
965,San Pedro Buenavista,Chiapas
965,Valle Morelos,Chiapas
965,Villa Corzo,Chiapas
965,Villa Flores,Chiapas
965,Villa Hidalgo,Chiapas
966,Arriaga,Chiapas
966,Emiliano Zapata,Chiapas
966,La Azteca,Chiapas
966,Tonalá,Chiapas
967,Chamula,Chiapas
967,Corazón de María,Chiapas
967,Huixtán,Chiapas
967,La Candelaria,Chiapas
967,Rancho Nuevo,Chiapas
967,San Cristóbal de las Casas,Chiapas
967,San Lucas,Chiapas
967,Tenejapa,Chiapas
968,Cintalapa,Chiapas
968,Copainala,Chiapas
968,Jiquipilas,Chiapas
968,Lázaro Cárdenas,Chiapas
968,Ocozocoautla,Chiapas
968,Ocuilapa de Juárez,Chiapas
968,Raudales Malpaso,Chiapas
968,Tecpatán,Chiapas
968,Tierra y Libertad,Chiapas
992,Benito Juárez,Chiapas
992,Chiapilla,Chiapas
992,Diamante de Echeverría,Chiapas
992,Independencia,Chiapas
992,Jaltenango de la Paz,Chiapas
992,Nueva Concordia,Chiapas
992,Presidente Echeverría (Laja Ten),Chiapas
992,Pujiltic,Chiapas
992,Ricardo Flores Magón,Chiapas
992,Socoltenango,Chiapas
992,Soyatitán,Chiapas
992,Teopisca,Chiapas
992,Totolapa,Chiapas
992,Venustiano Carranza,Chiapas
992,Vicente Guerrero,Chiapas
992,Villa de las Rosas,Chiapas
994,Cabeza de Toro,Chiapas
994,Paredón,Chiapas
994,Puerto Arista,Chiapas
994,Tres Picos,Chiapas
614,anta Eulalia,Chihuahua
614,Chihuahua,Chihuahua
614,El Sauz,Chihuahua
614,San Andrés,Chihuahua
614,Santa Isabel,Chihuahua
614,Satevo,Chihuahua
614,Villa Aldama,Chihuahua
621,Julimes,Chihuahua
621,Naica,Chihuahua
621,Santa Gertrudis (La Hacienda),Chihuahua
621,Saucillo,Chihuahua
625,Campo Menonita Número 106,Chihuahua
625,Campo Número Ciento Uno Viejo,Chihuahua
625,Campo Número Cientosiete,Chihuahua
625,Campo Número Diez,Chihuahua
625,Campo Número Ocho,Chihuahua
625,Campo Número Seis y Medio B,Chihuahua
625,Campo Número Veinte,Chihuahua
625,Campo Número Veintidós,Chihuahua
625,Ciudad Cuauhtémoc,Chihuahua
625,Colonia Alvaro Obregón,Chihuahua
625,Colonia Anáhuac,Chihuahua
625,La Paz,Chihuahua
625,Lázaro Cárdenas,Chihuahua
625,San Lorenzo,Chihuahua
625,San Nicolás de Carretas,Chihuahua
625,Santa Bárbara de Tutuaca (Tutuaca),Chihuahua
625,Santa Rosalía de Cuevas,Chihuahua
626,Coyame,Chihuahua
626,Manuel Benavides,Chihuahua
626,Manuel Ojinaga,Chihuahua
627,Parral,Chihuahua
628,Mariano Matamoros,Chihuahua
628,Pueblito de Allende,Chihuahua
628,San Francisco del Oro,Chihuahua
628,Santa Bárbara,Chihuahua
628,Valle de Ignacio Allende,Chihuahua
629,Ciudad Jiménez,Chihuahua
629,Escalón,Chihuahua
629,José Esteban Coronado,Chihuahua
629,Salaices,Chihuahua
629,Santa María,Chihuahua
629,Villa López,Chihuahua
635,Areponapuchi,Chihuahua
635,Bahuichivo,Chihuahua
635,Basaseachi,Chihuahua
635,Basuchil,Chihuahua
635,Bocoyna,Chihuahua
635,Carichi,Chihuahua
635,Cerocahui,Chihuahua
635,Chinpas de Almada,Chihuahua
635,Creel,Chihuahua
635,El Terrero,Chihuahua
635,Lic. Adolfo López Mateos,Chihuahua
635,Moris,Chihuahua
635,Nonoava,Chihuahua
635,Pascual Orozco (San Isidro),Chihuahua
635,San Francisco de Borja,Chihuahua
635,San Juanito,Chihuahua
635,San Rafael,Chihuahua
635,Santo Tomás,Chihuahua
635,Sisoguichi,Chihuahua
635,Temoris,Chihuahua
635,Tomochi,Chihuahua
635,Urique,Chihuahua
635,Uruachi,Chihuahua
635,Vicente Guerrero,Chihuahua
636,Benito Juárez,Chihuahua
636,Buenos Aires,Chihuahua
636,Casa de Janos,Chihuahua
636,Casas Grandes,Chihuahua
636,Colonia El Valle,Chihuahua
636,Colonia Juárez,Chihuahua
636,Colonia Le Barón,Chihuahua
636,Colonia Madero,Chihuahua
636,Ejido Constitución,Chihuahua
636,Ejido Hidalgo,Chihuahua
636,El Bismarck,Chihuahua
636,Galeana,Chihuahua
636,Guadalupe Victoria,Chihuahua
636,Ignacio Allende,Chihuahua
636,Ignacio Zaragoza,Chihuahua
636,Janos,Chihuahua
636,Juan Mata Ortíz (Pearson),Chihuahua
636,La Ascensión,Chihuahua
636,Las Virginias,Chihuahua
636,Monte Verde (El Coyote),Chihuahua
636,Nuevo Casas Grandes,Chihuahua
636,Pancho Villa (La Morita),Chihuahua
636,Ricardo Flores Magón (El Carmen),Chihuahua
636,Rodrigo M. Quevedo,Chihuahua
636,San Buenaventura,Chihuahua
636,San Lorenzo,Chihuahua
636,Sección Enríquez,Chihuahua
636,Tres Alamos,Chihuahua
639,Ciudad Delicias,Chihuahua
639,Colonia Campesina,Chihuahua
639,Colonia Felipe Angeles,Chihuahua
639,Colonia Revolución,Chihuahua
639,El Molino,Chihuahua
639,Estación Consuelo,Chihuahua
639,Guadalupe Victoria,Chihuahua
639,Kilometro Noventa y Nueve,Chihuahua
639,Las Varas,Chihuahua
639,Lázaro Cárdenas,Chihuahua
639,Pedro Meoqui,Chihuahua
639,Santa Cruz de Rosales,Chihuahua
648,Ciudad Camargo,Chihuahua
648,La Boquilla del Conchos,Chihuahua
648,La Cruz,Chihuahua
648,La Perla,Chihuahua
648,San Francisco de Conchos,Chihuahua
649,Baborigame,Chihuahua
649,Batopilas,Chihuahua
649,Ejido El Vergel,Chihuahua
649,El Tule,Chihuahua
649,Guachochi,Chihuahua
649,Guadalupe y Calvo,Chihuahua
649,La Magdalena,Chihuahua
649,Las Yerbitas,Chihuahua
649,Mesa San Rafael,Chihuahua
649,San Pablo Balleza,Chihuahua
649,Valle de Zaragoza,Chihuahua
652,Ciudad Madera,Chihuahua
652,Ejido El Largo,Chihuahua
652,La Norteña,Chihuahua
652,La Pinta,Chihuahua
652,Mesa del Huracán,Chihuahua
652,Nicolás Bravo,Chihuahua
652,Nueva Madera,Chihuahua
652,Peña Blanca,Chihuahua
652,San José Babicora,Chihuahua
652,Valentín Gómez Farías,Chihuahua
656,Barreales,Chihuahua
656,Ciudad Juárez,Chihuahua
656,Doctor Porfirio Parra (La Caseta),Chihuahua
656,El Millón,Chihuahua
656,El Porvenir,Chihuahua
656,G. Rodrigo M. Quevedo (Pto. Palomas),Chihuahua
656,Guadalupe Distrito Bravos,Chihuahua
656,Jesús Carranza (La Colorada),Chihuahua
656,Loma Blanca,Chihuahua
656,Miguel Ahumada,Chihuahua
656,Praxedis G. Guerrero,Chihuahua
656,Samalayuca,Chihuahua
656,San Isidro (Río Grande),Chihuahua
659,Abraham González,Chihuahua
659,Bachiniva,Chihuahua
659,Campo 303,Chihuahua
659,Campo 305 (Jagueyes),Chihuahua
659,Ejido Benito Juárez,Chihuahua
659,El Molino,Chihuahua
659,El Porvenir (Mpio. Bachiniva),Chihuahua
659,El Terrero,Chihuahua
659,Independencia (Cologachi),Chihuahua
659,Matachic,Chihuahua
659,Namiquipa,Chihuahua
659,Oscar Soto Maynez,Chihuahua
659,Temosachi,Chihuahua
671,Mieleras,Coahuila
671,Viesca,Coahuila
842,General Cepeda,Coahuila
842,Parras de la Fuente,Coahuila
844,Arteaga,Coahuila
844,Ramos Arizpe,Coahuila
844,Saltillo,Coahuila
844,San Antonio de las Alazanas,Coahuila
861,Don Martín,Coahuila
861,Juárez,Coahuila
861,Nueva Rosita,Coahuila
861,Progreso,Coahuila
861,Sabinas,Coahuila
861,San José de Aura,Coahuila
861,San Juan de Sabinas,Coahuila
862,Allende,Coahuila
862,Guerrero,Coahuila
862,Morelos,Coahuila
862,Nava,Coahuila
862,Río Bravo,Coahuila
862,Villa Unión,Coahuila
862,Zaragoza,Coahuila
864,Las Esperanzas,Coahuila
864,Minas de Barroterán,Coahuila
864,Minas La Florida,Coahuila
864,Muzquiz,Coahuila
864,Palau,Coahuila
866,Abasolo,Coahuila
866,Castaños,Coahuila
866,Frontera,Coahuila
866,Monclova,Coahuila
866,Ocho de Enero,Coahuila
866,Primero de Mayo,Coahuila
867,Hidalgo,Coahuila
869,Cuatrocienegas,Coahuila
869,Lamadrid,Coahuila
869,Nadadores,Coahuila
869,Ocampo,Coahuila
869,Sacramento,Coahuila
869,San Buenaventura,Coahuila
871,El Cambio,Coahuila
871,El Coyote,Coahuila
871,Escuadron Doscientos Uno,Coahuila
871,Hidalgo,Coahuila
871,Juan Eugenio,Coahuila
871,La Esperanza,Coahuila
871,La Flor de Mayo y La Barca,Coahuila
871,La Luz,Coahuila
871,La Partida,Coahuila
871,La Paz,Coahuila
871,Matamoros,Coahuila
871,Purísima,Coahuila
871,Santo Niño Aguanaval,Coahuila
871,Torreón,Coahuila
872,El Retiro,Coahuila
872,Francisco I. Madero,Coahuila
872,La Concordia (Rosita),Coahuila
872,Laguna del Rey,Coahuila
872,Lequeitio,Coahuila
872,Luchana,Coahuila
872,Mayran,Coahuila
872,San Ignacio,Coahuila
872,San Pedro,Coahuila
872,San Rafael de Arriba,Coahuila
873,Candela,Coahuila
877,Ciudad Acuña,Coahuila
877,San Carlos,Coahuila
878,Jiménez,Coahuila
878,Piedras Negras,Coahuila
312,Alzada,Colima
312,Chiapa,Colima
312,Ciudad de Villa de Alvarez,Colima
312,Cofradía de Suchitlán,Colima
312,Colima,Colima
312,Comala,Colima
312,Coquimatlán,Colima
312,Cuauhtémoc,Colima
312,El Chanal,Colima
312,El Trapiche,Colima
312,Los Ortices,Colima
312,Los Tepames,Colima
312,Piscila,Colima
312,Pueblo Juárez (La Magdalena),Colima
312,Quesería,Colima
312,Zacualpan|,Colima
313,Armería,Colima
313,Augusto Gómez Villanueva,Colima
313,Cerro de Ortega,Colima
313,Ciudad de Armería,Colima
313,Colonia Bravo,Colima
313,Cuyutlán,Colima
313,Ixtlahuacán,Colima
313,Madrid,Colima
313,Rincón de López,Colima
313,Tecolapa,Colima
313,Tecomán,Colima
314,Camotlán de Miraflores,Colima
314,El Colomo,Colima
314,El Naranjo,Colima
314,Jalipa,Colima
314,Manzanillo,Colima
314,Minatitlán,Colima
314,Venustiano Carranza (Cualata),Colima
314,Vida del Mar,Colima
618,Cinco de Febrero,Durango
618,Colonia Hidalgo,Durango
618,Durango,Durango
618,El Arenal (San Jerónimo),Durango
618,El Nayar,Durango
618,José María Pino Suárez,Durango
618,José Refugio Salcido,Durango
618,Llano Grande,Durango
618,Praxedis G. Guerrero,Durango
618,Santiago Bayacora,Durango
618,Sebastíán Lerdo de Tejada,Durango
618,Villa Montemorelos,Durango
629,Ceballos,Durango
629,Ejido Revolución (Las Víboras),Durango
629,Villa Hidalgo,Durango
649,Canutillo,Durango
649,General Escobedo,Durango
649,Indé,Durango
649,Las Nieves,Durango
649,San Bernardo,Durango
649,Santa María del Oro,Durango
649,Torreón de Cañas,Durango
649,Villa Ocampo,Durango
649,Villa Orestes Pereyra (Rosario),Durango
671,Cuencame de Ceniceros,Durango
671,Estación Pedriceña,Durango
671,Las Mercedes,Durango
671,Nazas,Durango
671,Pasaje,Durango
671,Paso Nacional,Durango
671,San Juan de Guadalupe,Durango
671,San Luis del Cordero,Durango
671,San Pedro del Gallo,Durango
671,Santa Clara,Durango
671,Simón BolívarGeneral Simón Bolívar,Durango
671,Velardeña,Durango
674,Canelas,Durango
674,Ciénaga de Nuestra Señora de Guadalupe,Durango
674,El Durazno,Durango
674,Guanacevi,Durango
674,José María Morelos (Chinacates),Durango
674,La Purísima,Durango
674,Los Herrera,Durango
674,Nuevo San Diego Tensaenz (El Caballo),Durango
674,Otaez,Durango
674,San José de la Boca,Durango
674,San Miguel de Cruces,Durango
674,San Nicolás,Durango
674,San Nicolás de Presidio (Presidio de Arriba),Durango
674,Santiago Papasquiaro,Durango
674,Tamazula de Victoria,Durango
674,Tayoltita,Durango
674,Tepehuanes,Durango
674,Topia,Durango
674,Vencedores,Durango
675,Cieneguilla,Durango
675,El Salto,Durango
675,Francisco Murguía,Durango
675,Gabriel Hernández (Mancinas),Durango
675,Graceros,Durango
675,La Ciudad,Durango
675,La Constancia,Durango
675,La Joya,Durango
675,Los Ángeles,Durango
675,Nombre de Dios,Durango
675,Rojas,Durango
675,San Francisco del Mezquital,Durango
675,San Francisco Javier,Durango
675,San José de la Parrilla,Durango
675,San José de Tuitán,Durango
675,Súchil,Durango
675,Veracruz,Durango
675,Vicente Guerrero,Durango
675,Villa Unión,Durango
676,Antonio Amaro,Durango
676,Cuauhtémoc,Durango
676,Emiliano Zapata,Durango
676,Felipe Carrillo PuertoGral. Felipe Carrillo Puerto,Durango
676,General Calixto Contreras (Colo),Durango
676,General Jesús Agustín Castro (Independencia),Durango
676,Guadalupe Victoria,Durango
676,Ignacio Allende,Durango
676,Ignacio Ramírez,Durango
676,José Guadalupe Rodríguez (Peñuelas),Durango
676,Luis Moya (San Isidro),Durango
676,Pánuco de Coronado,Durango
676,Peñon Blanco,Durango
676,Ramón Corona,Durango
677,Abasolo,Durango
677,Canatlán,Durango
677,Coneto de Comonfort,Durango
677,Diez de Octubre (San Lucas de Ocampo),Durango
677,"Donato Guerra, Durango",Durango
677,Francisco I. Madero,Durango
677,Francisco Rueda Serrano,Durango
677,General Ignacio Zaragoza,Durango
677,Guatimape,Durango
677,José Guadalupe Aguilera (Santa Lucia),Durango
677,La Soledad[disambiguation needed],Durango
677,Miguel Negrete (El Toboso),Durango
677,Nicolás Bravo,Durango
677,Nuevo Ideal,Durango
677,Ricardo Flores Magón,Durango
677,Rodeo,Durango
677,San Juan del Río del Centauro del Norte,Durango
677,Santa Barba,Durango
677,Venustiano Carranza (Ocotan),Durango
871,California,Durango
871,Ciudad Lerdo,Durango
871,El Vergel,Durango
871,Esmeralda,Durango
871,Estación Noé,Durango
871,Gómez Palacio,Durango
871,La Goma,Durango
871,La Popular,Durango
871,Nazareno,Durango
871,Pastor Rouaix,Durango
871,Picardías,Durango
871,San Felipe,Durango
871,San Jacinto,Durango
871,Sapioris,Durango
871,Seis de Enero,Durango
871,Villa Gregorio García,Durango
871,Villa Juárez,Durango
872,Bermejillo,Durango
872,El Lucero (Arcinas),Durango
872,Mapimí,Durango
872,San Francisco de Horizonte,Durango
872,Tlahualilo de Zaragoza,Durango
427,Polotitlán,Estado de México
712,San Lorenzo Toxico,Estado de México
55,Axotlán,Estado de México
55,Buenavista,Estado de México
55,Campo Militar N. 37B (El Cabi),Estado de México
55,Chalco,Estado de México
55,Chimalhuacán,Estado de México
55,Ciudad López Mateos,Estado de México
55,Ciudad Nezahualcoyotl,Estado de México
55,Coatepec,Estado de México
55,Cocotitlán,Estado de México
55,Colonia El Mirador,Estado de México
55,Cuautitlán,Estado de México
55,Cuautitlán Izcalli,Estado de México
55,Ecatepec de Morelos,Estado de México
55,Fuentes del Valle,Estado de México
55,Huixquilucan,Estado de México
55,Ixtapaluca,Estado de México
55,Las Cabañas,Estado de México
55,Loma del Río,Estado de México
55,Los Reyes Acaquilpan,Estado de México
55,Magdalena Chichicaspa,Estado de México
55,Melchor Ocampo,Estado de México
55,Naucalpan de Juárez,Estado de México
55,Ojo de Agua,Estado de México
55,Ozumbilla(Ejido El Zapote),Estado de México
55,Progreso Industrial,Estado de México
55,Pueblo Tecamac,Estado de México
55,Rancho Coxtitlán,Estado de México
55,Rancho Tlalmimilolpan,Estado de México
55,"Río Frío, Mexico",Estado de México
55,Salazar,Estado de México
55,San Francisco Acuautla,Estado de México
55,San Francisco Chimalpa,Estado de México
55,San Francisco Coacalco,Estado de México
55,San Francisco Magu,Estado de México
55,San Gregorio Cuautzingo,Estado de México
55,San José El Vidrio,Estado de México
55,San José Tejamanil,Estado de México
55,San Juan de las Tablas,Estado de México
55,San Luis Ayucan,Estado de México
55,San Martín Cuautlalpan,Estado de México
55,San Pablo Atlazalpan,Estado de México
55,San Vicente Chicoloapán,Estado de México
55,Santa Ana Jilotzingo,Estado de México
55,Santa Cruz,Estado de México
55,Santa Cruz Ayotuzco,Estado de México
55,Santa María Magdalena Cahuacán,Estado de México
55,Santa María Mazatla,Estado de México
55,Santa María Tonanitla,Estado de México
55,Santiago Cuautlalpan (Mp. Tepotzot),Estado de México
55,Santiago Yancuitlalpan,Estado de México
55,Temamatla,Estado de México
55,Tepojaco,Estado de México
55,Tepotzotlán,Estado de México
55,Tlalnepantla,Estado de México
55,Tlazala de Fabela,Estado de México
55,Transfiguración,Estado de México
55,Tultepec,Estado de México
55,Tultitlán de Mariano Escobedo,Estado de México
55,Villa Nicolás Romero,Estado de México
55,Xico,Estado de México
55,Zacamulpa,Estado de México
588,Chapa de Mota,Estado de México
588,Dongú,Estado de México
588,La Esperanza,Estado de México
588,Loma Alta,Estado de México
588,Loma Alta Taxhimay,Estado de México
588,Los Arana,Estado de México
588,Monte de Peña,Estado de México
588,San Gabriel Docuan,Estado de México
588,San Luis Anáhuac (Toriles),Estado de México
588,San Martín Cachihuapan,Estado de México
